patent_number,patent_date,patent_num_combined_citations,patent_kind,patent_title,patent_abstract,patent_id
10215858,2019-02-26,27,B1,Detection of rigid shaped objects,"Examples relating to the detection of rigid shaped objects are described herein. An example method may involve a computing system determining a first point cloud representation of an environment at a first time using a depth sensor positioned within the environment. The computing system may also determine a second point cloud representation of the environment at a second time using the depth sensor. This way, the computing system may detect a change in position of a rigid shape between a first position in the first point cloud representation and a second position in the second point cloud representation. Based on the detected change in position of the rigid shape, the computing system may determine that the rigid shape is representative of an object in the environment and store information corresponding to the object.",10215858
10237275,2019-03-19,68,B2,Wireless network access,"A system and machine-implemented method of wireless network access are provided. An authentication request comprising credentials for a user account of a cloud-based service is received from a wireless client device. The authentication request is forwarded to a server associated with the cloud-based service for authentication of the user account credentials. A list of one or more network identifiers corresponding to networks for which access by the user account of the cloud-based service is authorized is received from the server. The received list of one or more network identifiers is sent to the wireless client device, wherein the received list of one or more network identifiers is sent to the wireless client device prior to the wireless client device being associated with the wireless local area network.",10237275
10241770,2019-03-26,89,B2,Cloud-based deployment using object-oriented classes,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for selection of ranked configurations. In one aspect, a method includes providing a plurality of class definitions for selection, each class definition modeling a respective data or functional component of a cloud-based environment using a group of configurable class parameters, each class definition supporting instantiation and inheritance of the class definition in a configuration specification for a cloud-based deployment; deriving respective performance metrics associated with each of the plurality of class definitions based on aggregated performance of multiple cloud-based deployments, wherein the multiple cloud-based deployments had been carried out according to respective configuration specifications that require instantiation of the class definition or a new class definition derived from the class definition; and utilizing the respective performance metrics associated with each of the plurality of class definitions in ranking the plurality of class definitions.",10241770
10248889,2019-04-02,11,B2,Organizing images associated with a user,"A method includes identifying images associated with a user, where the image is identified as at least one of captured by a user device associated with the user, stored on the user device associated with the user, and stored in cloud storage associated with the user. The method also includes for each of the images, determining one or more labels, wherein the one or more labels are based on at least one of metadata and a primary annotation. The method also includes generating a mapping of the one or more labels to one or more confidence scores, wherein the one or more confidence scores indicate an extent to which the one or more labels apply to corresponding images. The method also includes interacting with the user to obtain identifying information that is used to categorize one or more of the images.",10248889
10264661,2019-04-16,5,B2,Target structure for enhanced electron screening,"Enhanced Coulomb repulsion (electron) screening around light element nuclei is achieved by way of utilizing target structures (e.g., nanoparticles) that undergo plasmon oscillation when subjected to electromagnetic (EM) radiation, whereby transient high density electron clouds are produced in localized regions of the target structures during each plasmon oscillation cycle. Each target structure includes an integral body composed of an electrically conductive material that contains light element atoms (e.g., metal hydrides, metal deuterides or metal tritides). The integral body is also configured (i.e., shaped/sized) to undergo plasmon oscillations in response to the applied EM radiation such that the transient high density electron clouds are formed during each plasmon oscillation cycle, whereby brief but significantly elevated charge density variations are generated around light element (e.g., deuterium) atoms located in the localized regions, thereby enhancing Coulomb repulsion screening to enhance nuclear fusion reaction rates. Various target structure compositions and configurations are disclosed.",10264661
10277601,2019-04-30,59,B1,System and method for recursive propagating application access control,"A system and method for recursive propagating application access control relate to managing third-party application access to content files and folders on a cloud storage system. The access control system may receive an access authorization indication to grant a third-party entity access to a parent folder containing a first file, and then modify an access control rule associated with the parent folder based on the access authorization indication. The modified access control rule is propagated to a child folder of the parent folder, and thus the third-party entity is granted access to a second file in the child folder based on the modified access control rule. The second file shares a common attribute with the first file, and the modified access control rule specifies the common attribute.",10277601
10284493,2019-05-07,32,B2,Accessing a cloud-based service using a communication device linked to another communication device via a peer-to-peer ad hoc communication link,"Arrangements described herein relate to accessing a cloud based service. Responsive to a user of a first communication device initiating access to the cloud based service via the first communication device, a prompt for a valid password to be entered to access the cloud based service can be received by the first communication device. Responsive to the valid password required to access the cloud based service not being stored on the first communication device, the first communication device can automatically retrieve the valid password from a second communication device via a peer-to-peer ad hoc communication link between the first communication device and the second communication device. The valid password can be automatically provided, by the first communication device, to a login service for the cloud based service to obtain access by the first communication device to the cloud based service.",10284493
10285456,2019-05-14,191,B2,Interactive fabric,"This document describes techniques using, and objects embodying, an interactive fabric which is configured to sense user interactions in the form of single or multi-touch-input (e.g., gestures). The interactive fabric may be integrated into a wearable interactive garment (e.g., a jacket, shirt, or pants) that is coupled (e.g., via a wired or wireless connection) to a gesture manager. The gesture manager may be implemented at the interactive garment, or remote from the interactive garment, such as at a computing device that is wirelessly paired with the interactive garment and/or at a remote cloud based service. Generally, the gesture manager recognizes user interactions to the interactive fabric, and in response, triggers various different types of functionality, such as answering a phone call, sending a text message, creating a journal entry, and so forth.",10285456
10298670,2019-05-21,5,B2,Real time cloud workload streaming,"A method and system for real-time cloud bursting is provided. The method and system are directed to extending a data center with cloud computing resources by decoupling computing resources and storage devices in a virtualized data center, and booting the decoupled computing resources in a staged process while storage devices are divided and prioritized into components. Data and boot instructions are re-routed and cached as needed through a proxy system.",10298670
10303820,2019-05-28,13,B2,Selective simulation of virtualized hardware inputs,"Methods and apparatus are described herein emulating, by one or more servers on behalf of a mobile computing device, a cloud-based virtual machine. The cloud-based virtual machine may include a virtualized hardware component that provides, as virtual hardware input for a software application executing on the cloud-based virtual machine, either “genuine” virtual hardware input or “simulated” virtual hardware input. Genuine virtual hardware input may be based on an actual hardware signal received from a hardware component of the mobile computing device that corresponds to the virtualized hardware component. Simulated virtual hardware input may be generated independently of any hardware signal associated with the hardware component. Output of the software application may be interactively streamed to the mobile computing device.",10303820
10306157,2019-05-28,266,B2,Using images of a monitored scene to identify windows,"A camera system includes memory, image sensors, illuminators, and a processor. The processor operates the illuminators and the image sensors in a first mode to capture a two-dimensional image of the scene using light transmitted by the illuminators and reflected from the scene. The processor operates in a second mode to capture a plurality of images of the scene, including capturing a first image of the scene while one or more of the illuminators are activated and capturing a second image of the scene is while none of the illuminators are activated. The images are transmitted to a remote cloud computing system. The remote system constructs a light intensity map for the scene using the first and second images, and identifies a first region in the light intensity map as a glass surface when the light intensity values for the first region are below a threshold value corresponding to glass.",10306157
10332059,2019-06-25,24,B2,Security scoring in a smart-sensored home,"This patent specification relates to apparatus, systems, methods, and related computer program products for providing home security objectives. More particularly, this patent specification relates to a plurality of devices, including intelligent, multi-sensing, network-connected devices, that communicate with each other and/or with a central server or a cloud-computing system to provide any of a variety of useful home security objectives.",10332059
10339211,2019-07-02,26,B1,Systems and methods for synchronizing comments to an electronic document across platforms,"Systems and methods disclosed herein provide a mechanism for synchronizing comments to an electronic document across platforms. In some embodiments, a cloud storage server may receive an electronic document uploaded from a user device, and save the electronic document in its native format at the server without converting the document to a different format. When the user device attempts to access the document remotely, the cloud storage server may present the document in its native format to the user device so that a user may edit the document in the native format without downloading the document to the local drive. For example, the user can add a comment in a structure that is specific to the native application format without locally installing the native application on the user device. The cloud storage server may in turn incorporate the comment into the document for display in real time.",10339211
10346416,2019-07-09,51,B2,User experience and user flows for third-party application recommendation in cloud storage systems,"A cloud computing system identifies when to recommend applications to a user and what recommendations to make. When the user makes a request related to the applications associated with the user, the cloud computing system identifies the subject of the request. The cloud computing system identifies criteria for recommending applications based on the subject, scores applications available to the user based on the identified criteria, and filters applications based on their scores to recommend applications to the user.",10346416
10356157,2019-07-16,11,B2,Systems and methods for notifying users of changes to files in cloud-based file-storage systems,"Systems and methods are disclosed herein for notifying a user of a change to a file stored in a cloud-based file-storage system. A first indication of a first change to the file by a first user is received from a remote server, where the file is associated with a second user and is stored by the remote server. Subscription preferences of the second user are received. A notification indicating the first change to the file is displayed on a mobile device associated with the second user if a category of the notification is allowed by the subscription preferences. The notification includes a graphical preview of the file, an identifier of the file, and an identity of the first user.",10356157
10390089,2019-08-20,53,B2,Integral program content distribution,"This document describes techniques using, and devices embodying, integral program content distribution. These techniques and devices enable a request for program content to be received from an end-user device. In response to the request, an integral version of the requested program content is determined using an indication of a program content transition that corresponds to an apparent broadcast time of the requested program content. The program content can be transmitted to the end-user device as part of a cloud-based digital video recorder (DVR) system.",10390089
10394765,2019-08-27,19,B2,Saving files from third-party systems directly to a cloud storage system,"A method for saving a file stored on a third-party system to a cloud storage system includes receiving, at a cloud storage server of the cloud storage system, a save request from the third party system. The save request is generated in response to a user selecting, via a user interface presented on a client computer, the file from a plurality of files stored on the third-party system, the file to be saved to the cloud storage server. The save request comprises a file identifier of the file and information identifying the user. The information identifying the user allows access to a user account of the user on the cloud storage system without use of the client computer as intermediary service, and the third-party system stores the file associated with the file identifier. The method further includes authenticating the save request, based at least in part on the information identifying the user, creating a copy of the file at the cloud storage server, and associating the copy of the file with the user.",10394765
10404769,2019-09-03,14,B2,Remote desktop video streaming alpha-channel,"A method includes preparing images of a remote desktop including an open cloud-application window object corresponding to an instance of a network-hosted application executing on a network, encoding the images of the remote desktop as image frames in a video stream, and transmitting the video stream over the network to a computing device. The images the remote desktop are encoded such that when decoded, reconstructed, and displayed on a local desktop of the computing device, the open cloud-application window object corresponding to the instance of the network-hosted application executing on the network has the appearance and behavior of an open window corresponding to a natively-operating application on the local desktop of the computing device.",10404769
10423638,2019-09-24,59,B2,Cloud inference system,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for storing and accessing data in a cloud system. One of the methods includes receiving an identification of log data that records occurrences of events; receiving a specification of a plurality of different event types to be indexed; indexing the log data according to the specification and group identifiers; receiving a query specifying a reference parameter and requesting one or more predicted events; searching the indexed groups to identify a plurality of groups having events associated with the reference parameter; computing one or more predicted events, from the identified plurality of groups, that are most likely to co-occur in the indexed groups with events associated with the reference parameter; and providing the computed one or more predicted events.",10423638
10437776,2019-10-08,15,B1,Systems and methods for selecting folders for uploading to a cloud file system,"Systems and methods are disclosed herein for selecting folders to upload to a cloud system. A plurality of folders on a client system is identified, where the plurality of folders is associated with metadata. A respective score for each folder in the plurality of folders is evaluated by applying a set of rules to the metadata. A subset of folders is selected from the plurality of folders based on the respective scores, and a recommendation is provided to upload the subset of folders to the cloud system.",10437776
10448585,2019-10-22,12,B2,Irrigation management via intelligent image analysis,"Various arrangements for visual control of a network-enabled irrigation system are presented. In some embodiments, a video stream of an outdoor location that can include a lawn may be captured. The video stream of the outdoor location may be transmitted to a cloud-based irrigation management server system. The lawn may be monitored for a period of time using the video stream. Based on monitoring the lawn for the period of time, a visual change in a state of the lawn may be identified. Based on the visual change in the state of the lawn, an adjustment of an irrigation program of the network-enabled irrigation system may be determined. An irrigation control message may be transmitted to the network-enabled irrigation system that alters an irrigation schedule for the lawn.",10448585
10455015,2019-10-22,29,B2,System and method for automatic cloud-based full-data backup and restore on mobile devices,A method for storing third-party application data to cloud storage is described herein. The method includes determining to upload data associated with a third-party application stored on a client device to a cloud storage server. The data associated with the third-party application includes both binary data and metadata. The method further includes storing the binary data of the third-party application at a first cloud storage location. The first cloud storage location has a storage address and the metadata is updated to include the storage address. The method includes storing the updated metadata to a second cloud storage location different from the first cloud storage location.,10455015
10469391,2019-11-05,49,B2,Distributed software defined wireless packet core system,A distributed software defined network (SDN) packet core system is configured to support a plurality of radio access technologies. The distributed SDN packet core system can include a cloud-based SDN centralized infrastructure instance and a plurality of local SDN infrastructure instances distributed in proximity to wireless access networks and radio access points thereof. The cloud-based centralized SDN infrastructure instance can be configured to handle network operations that are not latency sensitive. Each local SDN infrastructure instance can include a plurality of computer devices configured to execute a plurality of RAT specific control-plane modules and a plurality of RAT independent packet processing modules for performing latency sensitive network operations.,10469391
10476758,2019-11-12,38,B2,Systems and methods for providing notifications of changes in a cloud-based file system,"A cloud-based file system receives a subscription request associated with a networked device and identifying a set of one or more resources of the cloud-based file system and a set of one or more resource modifications. The cloud-based file system determines whether the networked device is authorized to access the resource, and, if so, records a subscription based on the subscription request. In response to a user, an application, or other suitable entity making a modification in the set of modifications to a resource in the set of resources, the cloud-based file system generates a notification to the networked device and to other networked devices with subscriptions that include the modification to the resource. The notification may identify the subscription with which the notification is associated, provide information identifying the modification, or provide other suitable information.",10476758
10477463,2019-11-12,30,B2,Adaptive ownership and cloud-based configuration and control of network devices,"Methods, systems, and computer program products for cloud-based adaptive configuration and control of a network device include, detecting an access by a user through the network device to a cloud-based service; and responsive to the detected access, configuring the network device to be controlled by the user via a cloud-based configuration controller. Further implementations include, receiving a configuration request from the network device, wherein the configuration request includes access information pertaining to an access made by a user to a cloud-based service; determining a cloud-based identity of the user based upon the received access information; associating the cloud-based identity with an ownership identifier; forming one or more instructions to configure the network device with the ownership identifier as an owner of the network device; and transmitting the one or more instructions to the network device.",10477463
10482394,2019-11-19,9,B2,Large-scale in-database machine learning with pure SQL,"The present disclosure provides systems and methods for in-database generation of generalized linear models within a relational database. Generalized linear models form the basis of many machine learning algorithms and applications. In particular, in some implementations, the database commands that enable generation and use of the models include only pure SQL queries, thereby eliminating the need for user defined aggregates (UDAs), which are not offered by many cloud database service providers. For example, a set of client-side driver scripts can implement respective sets of pure SQL queries to import training data, generate and train the generalized linear model, and employ the model to generate inferences.",10482394
10490198,2019-11-26,20,B2,Device-specific multi-channel data compression neural network,A sensor device may include a computing device in communication with multiple microphones. A neural network executing on the computing device may receive audio signals from each microphone. One microphone signal may serve as a reference signal. The neural network may extract differences in signal characteristics of the other microphone signals as compared to the reference signal. The neural network may combine these signal differences into a lossy compressed signal. The sensor device may transmit the lossy compressed signal and the lossless reference signal to a remote neural network executing in a cloud computing environment for decompression and sound recognition analysis.,10490198
10510035,2019-12-17,205,B2,Limited access invitation handling at a smart-home,"This patent specification relates to apparatus, systems, methods, and related computer program products for providing home security/smart home objectives. More particularly, this patent specification relates to a plurality of devices, including intelligent, multi-sensing, network-connected devices, that communicate with each other and/or with a central server or a cloud-computing system to provide any of a variety of useful home security/smart home objectives.",10510035
10534651,2020-01-14,15,B2,Rendering,"This document describes methods, systems and computer program products related to cloud-based rendering. The subject matter of this document is embodied in a method that includes receiving, at a server, information associated with a job of rendering one or more frames at the server, and using, at the server, an application to perform at least a portion of the rendering. The use of the application to perform the rendering bears a charge according to a usage license associated with the application. The method also includes measuring, at the server, an amount of use of the application in performing the rendering for use in determining the charge.",10534651
10565786,2020-02-18,15,B1,Sensor placement interface,"An example method includes determining a point cloud representation of surfaces within an environment. The method further includes providing for display of a graphical interface that shows a model of the surfaces within the environment based on the point cloud representation. The method additionally includes receiving input data indicating one or more positions for one or more virtual sensors on the graphical interface corresponding to one or more physical positions within the environment. The method also includes determining one or more occluded regions within the environment, where the one or more occluded regions are predicted to be occluded from view by one or more sensors positioned at the one or more physical positions within the environment. The method also includes providing for display in the graphical interface of a graphical representation of the one or more occluded regions within the model of the surfaces within the environment.",10565786
10566094,2020-02-18,8,B2,Enhanced electron screening through plasmon oscillations,"Enhanced Coulomb repulsion screening around light element nuclei is achieved by way of utilizing electromagnetic (EM) radiation to induce plasmon oscillations in target structures (e.g., nanoparticles) in a way that produces high density electron clouds in localized regions of the target structures, thereby generating charge density variations around light element atoms located in the localized regions. Each target structure includes an electrically conductive body including light elements (e.g., a metal hydride/deuteride/tritide) that is configured to undergo plasmon oscillations in response to the applied EM radiation. The induced oscillations causes free electrons to converge in the localized region, thereby producing transient high electron charge density levels that enhance Coulomb repulsion screening around light element (e.g., deuterium) atoms located in the localized regions. Various systems capable of implementing enhanced Coulomb repulsion screening are described, and various nanostructure compositions and configurations are disclosed that serve to further enhance fusion reaction rates.",10566094
10621838,2020-04-14,10,B2,External video clip distribution with metadata from a smart-home environment,"Various arrangements for video clip distribution for a smart home environment are presented. A video stream of the smart home environment may be received. A cloud-based storage system may be used to store the video stream. One or more event analysis processes can be performed on the stored video stream to identify an occurrence of a type of event. Event metadata may be stored by the cloud-based storage system that identifies the types of events that have occurred. An external analysis system may send a clip request. In response, the cloud-based storage system may retrieve a video clip from the video stream corresponding to a time period indicated in the clip request. The cloud-based storage system may also identify event metadata corresponds to the clip request. The cloud-based storage system may transmit to the external analysis system via the Internet, the video clip and the event metadata.",10621838
10623332,2020-04-14,36,B2,Accessing a cloud-based service using a communication device linked to another communication device via a peer-to-peer ad hoc communication link,"Arrangements described herein relate to accessing a cloud based service. Responsive to a user of a first communication device initiating access to the cloud based service via the first communication device, a prompt for a valid password to be entered to access the cloud based service can be received by the first communication device. Responsive to the valid password required to access the cloud based service not being stored on the first communication device, the first communication device can automatically retrieve the valid password from a second communication device via a peer-to-peer ad hoc communication link between the first communication device and the second communication device. The valid password can be automatically provided, by the first communication device, to a login service for the cloud based service to obtain access by the first communication device to the cloud based service.",10623332
