patent_number,patent_date,patent_num_combined_citations,patent_kind,patent_title,patent_abstract,patent_id
10122650,2018-11-06,22,B2,System and method for tenant management in a cloud platform environment,"In accordance with an embodiment, described herein is a system and method for providing tenant management in a cloud computing environment. In accordance with an embodiment, a tenant manager component enables configuration and management of tenants that utilize services and resources within the cloud environment, including accessing information in a tenant store repository describing a plurality of tenants, and providing administrative isolation between the plurality of tenants. The tenant manager enables receiving administrative commands to configure or manage particular ones of the plurality of tenants, and applying the administrative commands to the particular tenants associated with the received administrative commands, for use in configuring or managing use by those tenants of the services and resources within the cloud environment.",10122650
10142174,2018-11-27,164,B2,Service deployment infrastructure request provisioning,"In certain embodiments, a Service Deployment Infrastructure (SDI) request engine is disclosed. The SDI request engine performs the tracking, management and provisioning of services subscribed to by customers of the cloud infrastructure system. The SDI request engine is deployed to process large volumes of provisioning requests and deliver time critical applications for customers. The SDI request engine translates each request into a list of tasks of various sizes based on the requirement and configuration of the request. In some embodiments, the SDI request engine imposes control and management on both request and task levels in order to execute, rollback, retry or fail a task automatically and accurately.",10142174
10142188,2018-11-27,14,B2,System and method for providing guiding messages in creating an integration flow in a cloud-based integration platform,"In accordance with an embodiment, described herein is a system and method for generating messages guiding a user in creating an integration flow in a cloud-based integration service. The cloud-based integration service can include a web interface application for a current integration flow, and a runtime for executing the current integration flow. A plurality of complete integration flow definitions can be provided, each defining a plurality of integration components for a particular type of integration flow. The system can select a complete integration flow definition based on the type of the current integration flow, dynamically update the complete integration flow definition, and compare the current integration flow against the selected complete integration flow definition. Based on the comparison, the system can generate one or more messages for graphical display in the web interface application, to guide the user in creating the current integration flow.",10142188
10142371,2018-11-27,37,B2,Authorization policy customization and authorization policy lockdown,"Application customization enables many different types of customers, from small companies to large multinational enterprises, to use various applications provided by a cloud service provider. To accommodate these customizations, previous systems generally require manual human intervention to identify custom, customized, and cloud service provider authorization policies (also referred to herein as “seed” authorization policies) and to decide how each type of authorization policy should be upgraded. When applications are customized, artifacts that represent those customizations can be created. In some embodiments, the customizations can include new resources or entitlements, and grants to new roles. In addition to new resources, entitlements, and grants, existing resources, entitlements, and grants can be modified and artifacts corresponding to those modifications can be generated. Embodiments of the present invention provide improved techniques for tracking and managing customizations to simplify and automate upgrade processes.",10142371
10148530,2018-12-04,376,B2,Rule based subscription cloning,"Aspects of the present invention relate to techniques for providing a user with access to a service provided by a cloud infrastructure system based on an existing service. A user may be provided with a clone subscription based on a base subscription to an existing service provided by the cloud infrastructure system. A clone subscription can provide the user with an environment (e.g., a service) that is designated for one use (e.g., development and testing) different from another use (e.g., production) designed for a base subscription. Changes made to a base subscription may be propagated to the clone subscription based on rules. A clone subscription can be modified to vary the clone configuration independently from the base configuration.",10148530
10154037,2018-12-11,15,B2,Techniques for implementing a data storage device as a security device for managing access to resources,"Techniques are disclosed for implementation of a data storage device as a security device for managing access to resources. These techniques can be implemented for multi-factor authentication (MFA) to provide multiple layers of security for managing access to resources in an enterprise and/or a cloud computing environments. As a security device, a storage device can be used a portable device to provide a point of trust for multi-factor authentication across any client application or device operated to access resources. A storage device may be configured with security data for authentication with an access management system. After configuration, a portable storage device may be used for authentication of a user without credential information at any client device based on accessibility of the device to the portable storage device. A storage device configured as a security device can ensure that legitimate users have an easy way to authenticate and access the resources.",10154037
10164901,2018-12-25,275,B2,Intelligent data center selection,"In embodiments, a data center selection system can select a chosen data center (DC) for an order submitted to a cloud computing system using a preprocessing layer and a rules engine that incorporates action/algorithm-based selection using data center metrics to determine the chosen DC. In various embodiments, the data center selection system retrieves order information, objectives, rules, algorithms, and other data defined by an administrator. The data center selection system can then retrieve data center information aggregated from various data centers. Using order information received from an order management system, the data center selection system can utilizes the preprocessing layer, the rules engine, and the algorithm-based selection to select the chosen DC. The data center selection system can send an order request to the chosen DC in which to provision services for the order request.",10164901
10182107,2019-01-15,32,B2,Multi-tenant application using hierarchical bean factory container,Various embodiments provide on premise and cloud deployment support for components that may not be multi-tenant enabled. A single application in a highly non-intrusive way without effecting application functional logic. On premise deployments can run with fixed default tenant and no tenant information needs to be captured anywhere anytime. The application code accesses the hierarchical bean factory to get any tenant specific or shared resources seamlessly without knowledge of multi-tenancy in functional code anywhere.,10182107
10191802,2019-01-29,12,B2,Extract-transform-load diagnostics,"A cloud-based ETL system provides error detection, error correction and reporting of data integration flows hosted by cloud services. Categories of errors are identified using one or more checks at different points of a data integration flow and one or more actions selected based at least in part on the error category. A determination can be made whether the error category is fault tolerant and one or more actions can be selected based at least in part on the error fault tolerance to correct the error, restart a flow, or generate a notification assisting a user to correct the error.",10191802
10193877,2019-01-29,13,B2,On-premises agent for mobile cloud service,"Systems, devices, and methods are disclosed for an agent device within a company's network firewall to initiate an HTTP connection with a cloud-based gateway and then upgrade the connection to a WebSockets protocol in order to have an interactive session. Over this interactive session, a mobile device, which connects to the cloud-based intermediary, can request data from servers inside the company's firewalls. Because the firewall is traversed using HTTP protocols (with WebSockets), it can be as safe as letting employees browse the web from inside the company's network.",10193877
10193953,2019-01-29,18,B2,Self describing configuration,Systems and methods are provided for self-describing configurations of cloud-based applications for data security providers monitoring communications between a client device and the applications. An application programming interface (API) can be provided that allows the data security provider to inspect entity objects used by the cloud-based application. Data entities can be marked to have protected fields. A token identifier can be generated by the data security provider and sent to the cloud-based application. The cloud-based application can insert the token identifier in communications between the application and a client device allowing the data security provider to protect sensitive data associated with the protected fields.,10193953
10198288,2019-02-05,15,B2,System and method for providing a dynamic cloud with subnet administration (SA) query caching,"A system and method support can subnet management in a cloud environment. During a virtual machine migration in a cloud environment, a subnet manager can become a bottleneck point that delays efficient service. A system and method can alleviate this bottleneck point by ensuring a virtual machine retains a plurality of addresses after migration. The system and method can further allow for each host node within the cloud environment to be associated with a local cache that virtual machines can utilize when re-establishing communication with a migrated virtual machine.",10198288
10200358,2019-02-05,110,B2,Microservices based multi-tenant identity and data security management cloud service,"A system provides cloud-based identity and access management. The system receives a request for performing an identity management service, where the request includes a call to an application programming interface (“API”) that identifies the identity management service and a microservice configured to perform the identity management service. The system authenticates the request, accesses the microservice, and performs the identity management service by the microservice.",10200358
10212053,2019-02-19,389,B2,Declarative and extensible model for provisioning of cloud based services,"A method for offering a set of services is disclosed. The method may comprise storing, by a cloud infrastructure system, subscription order information identifying a service from a set of services provided by the cloud infrastructure system, the cloud infrastructure system comprising one or more computing devices. A computing device from the one or more computing devices may determine a service declaration for the service, the service declaration comprising information indicative of procedures for provisioning resources for enabling the service. A computing device from the one or more computing devices may cause the service to be provisioned based on the service declaration.",10212053
10212169,2019-02-19,47,B2,Enforcing data security in a cleanroom data processing environment,"Techniques for enforcing data security in a cleanroom data processing environment are described herein. In one or more embodiments, a virtual private cloud environment stores a first set of data provided by a first user account and a second set of data provided by a second user account, where the first user account is associated with a first set of one or more security credentials and the second user account is associated with a second set of security credentials and where the first user account is prevented from accessing at least the second set of data and the second user account is prevented from accessing at least the first set of data. In response to receiving, from the first user account or the second user account, a request to destroy the virtual private cloud environment, at least the first set of data and the second set of data are deleted.",10212169
10212538,2019-02-19,35,B2,"Methods, systems, and computer readable media for validating user equipment (UE) location","A method for validating UE location includes receiving, at a network gateway, a signaling message for updating a location of a UE with a mobile communications network. A first indication of user equipment location is extracted from the signaling message. One of: a cloud-based UE location database containing UE location information obtained from a UE location reporting application resident on the UE, a cloud-based loyalty card transaction database containing loyalty card transaction records indexed by UE identifiers, and a mobile location center (MLC) that obtains UE location information by requesting or receiving the UE location information from a mobility management entity (MME) is queried to obtain a second indication of location of the UE. It is determined from a relationship between the first and second indications of location of the UE that the signaling message is suspicious. In response to determining that the signaling message is suspicious, a policy rule is applied to processing of the signaling message.",10212538
10216491,2019-02-26,26,B2,Controlled availability of objects in a visual design tool for integration development,"Techniques are described for controlling availability of objects in a visual design tool for integration development. An integration developer may select a node to add to an integration and, in response, the integration cloud system can analyze the structure of the integration flow, query other nodes within the structure of the integration flow for configuration data, and generate available configuration options for the selected node. The integration cloud system can use the available configuration options to control the availability of objects by only providing the available configuration options for selection by the developer.",10216491
10218705,2019-02-26,114,B2,Multi-tenant identity and data security management cloud service,"A system provides cloud-based identity and access management. The system receives a request from a client for an identity management service, authenticates the request, and accesses a microservice based on the request. The system determines, based on the request, a tenancy of the client, a tenancy of a user, and a tenancy of a resource. The system retrieves data from the determined tenancies as required to process the request, where the data is retrieved by the microservice using a connection pool that provides connections to the database. The system then performs the identity management service by the appropriate microservice responsible for processing the received request.",10218705
10225140,2019-03-05,20,B2,Portable instance provisioning framework for cloud services,"Techniques are described for automated provisioning of cloud service instances. In one or more embodiments, a service definition defines a set of resource dependencies for a plurality of versions of a cloud service including a first set of resource dependencies for a first version of the cloud service and a second set of one or more resource dependencies for a second version of the cloud service, wherein the second set of one or more resource dependencies modifies the first set of resource dependencies. In response to the request to perform a service operation for an instance of the second version of the cloud service, a provisioning engine generates and executes a set of instructions for provisioning a set of resources for the instance of the second version of the cloud service based on the target set of resource dependencies determined based on the first and second set of resource dependencies.",10225140
10225164,2019-03-05,60,B2,System and method for providing a cloud computing environment,"A system and method for enabling a cloud computing environment. In accordance with an embodiment, the system can include a variety of hardware and/or software components and features, which can be used in delivering an infrastructure, platform, and/or applications to support public and private clouds.",10225164
10225259,2019-03-05,47,B2,Establishing a cleanroom data processing environment,"Techniques for providing a virtual cleanroom data processing environment are described herein. In one or more embodiments, a virtual private cloud environment is configured to prevent data from being sent to network locations external to the virtual private cloud environment. One or more computing resources deployed within the virtual private cloud environment receives, from a first source external to the virtual private cloud environment, a first set of data that is associated with a first user account. A set of one or more software components, received from a second source, are also deployed within the virtual private cloud environment. Once deployed, the set of software components generates, based at least in part on the first set of data, a set of output data. The first set of data is continuously prevented from being sent to network locations external to the virtual private cloud environment.",10225259
10225323,2019-03-05,10,B2,System and method for providing java cloud services for use with a cloud computing environment,"A system and method for providing Java cloud services for use with a cloud computing environment. In accordance with an embodiment, a cloud environment, such as Oracle Public Cloud (OPC), can include a Java cloud services (JCS) infrastructure, which allows a suite of software applications, middleware, and database offerings to be delivered to customers in a self-service, elastically scalable manner. In accordance with an embodiment, the JCS infrastructure can orchestrate, in combination with other cloud environment components, the creating and/or updating of a platform instance of a Java cloud service, including provisioning and deployment of the platform instance and/or deployment of software applications, and one or more personality injection or application deployment processing. Additional resources and/or services, such as a database service, can be wired to or otherwise associated with the Java cloud service, for use by customer applications that are deployed to the cloud.",10225323
10255061,2019-04-09,274,B2,Zero down time upgrade for a multi-tenant identity and data security management cloud service,"A system provides cloud-based identity and access management. The system receives a request for performing an identity management service. The request identifies the service and a current version of a microservice. The current version of the microservice is in a first stateless middle tier in a first topology that includes a first web tier. The system performs the identity management service by the current version of the microservice using tenant data stored in a database. The system then determines an upgrade to be applied to the microservice, and deploys a second topology that implements the upgrade. The second topology includes a second web tier and a second stateless middle tier including a new version of the microservice. The system tests the new version of the microservice in the second topology using test data stored in the database, promotes the second topology, and drains and shuts down the first topology.",10255061
10261836,2019-04-16,294,B2,Dynamic dispatching of workloads spanning heterogeneous services,"A system for executing a workload that includes a plurality of transactions for a first time slot determines whether a metered cloud service has a sufficient quota of operations available to execute respective metered transactions. For the first time slot, the system determines whether a non-metered cloud service has a sufficient processing load to execute respective non-metered transactions. The system executes the plurality of transactions during the first time slot when each metered cloud service has the sufficient quota and each non-metered cloud service has the sufficient processing load. Further, the system waits to execute the plurality of transactions of the workload during a time slot subsequent to the first time slot when any of the metered cloud services does not have the sufficient quota or any of the non-metered cloud services does not have a sufficient processing load.",10261836
10270706,2019-04-23,298,B2,Customizable model for throttling and prioritizing orders in a cloud environment,"A method for controlling the provisioning of a service associated with a customer order is disclosed. The method may comprise receiving, by a cloud infrastructure system, an order for a service from a plurality of service provided by the cloud infrastructure system, the cloud infrastructure system comprising one or more computing devices. Additionally, the method may comprise determining, by a computing device from the one or more computing devices, based upon a set of rules and system-related information, whether the order is to be forwarded for provisioning one or more resources for enabling the order. Then, based upon the determining, the method may forward the order for provisioning of the one or more resources or not forwarding the order for provisioning.",10270706
10282187,2019-05-07,24,B2,Efficient application patching in heterogeneous computing environments,"Techniques are disclosed for efficiently updating multiple computing systems in potentially heterogeneous computing environments. Embodiments provide for efficient patching of multiple software applications executing in multiple execution environments. For example, a custom installation tool can be provided to each of the computing devices in the cloud infrastructure system. The computing devices can execute the custom installation tool and identify, retrieve, and apply the necessary patches to applications on the computing devices. The patch-related processing across the multiple computing devices may occur in parallel such that at least a portion of the processing is performed concurrently from one another.",10282187
10282764,2019-05-07,220,B2,Organizing data in a virtual computing infrastructure,"Organizing data in a cloud computing environment having a plurality of computing nodes is described. An authorization to service a request is received. The request may be from a user for launching an instance. In response to receiving the authorization and based on the request, an image list is determined. The image list includes information corresponding to a plurality of machine images. At least one machine image is identified from the image list associated with a functional requirement of the request. The instance is launched at the at least one computing node. The at least one machine image is updated after the instance has been launched.",10282764
10284685,2019-05-07,15,B2,Monitoring cloud resource objects during deployment of a blueprint,"Tools are provided to assist users of cloud computing systems to create, monitor, and debug the resource instances they need. Specifically, resource instances are created in a cloud computing system based on a blueprint that is provided to a blueprint processor. The blueprint declaratively defines the resources that the user needs to have created in the cloud. Based on the information contained in blueprint, the blueprint processor causes the cloud to orchestrate the creation of resource instances, doing so in parallel when possible, and to configure those resource instances as specified in blueprint. Techniques are described for generating a timeline to convey status during the deployment process, and for performing debugging operations.",10284685
10290133,2019-05-14,121,B2,High fidelity interactive screenshots for mobile applications,"The present disclosure relates to mobile application development system providing high fidelity interactive screenshots for mobile applications developed using a cloud-based service. Particular aspects of the present disclosure are directed to a method for showing a sample screenshot of a user interface that closely resembles what users would see on a mobile device. The method may include determining a static layer of the user interface, determining an image representative of the static layer, determining a dynamic layer of the user interface, determining an image representative of the dynamic layer, and rendering the screenshot of the user interface based on a combination of the image representative of the static layer and the one or more images representative of the dynamic layer.",10290133
10296163,2019-05-21,8,B2,Electronic presentation repository and interface,"Embodiments of the invention include techniques for storing and managing repositories of electronic presentation documents. Presentation storage repositories may be implemented in various storage systems including individual computer servers, distributed storage networks, cloud-based storage systems, and the like. Presentation search interfaces may support various searching and customization capabilities. Search interface and search engine components may be implemented to receive search requests from client devices, retrieve electronic presentation data from one or more storage repositories, and generate customized search results based on the retrieved electronic presentation data. Search and presentation capabilities may include storing user-specific selections of presentation cover slides, and then retrieving and/or generating user-specific thumbnails for search results interfaces. Additionally, presentation access and usage statistics may be tracked and stored within the storage repository and may be incorporated into the customized searching and presentation capabilities.",10296163
10298514,2019-05-21,21,B2,System and method for cloud connection pool,"Today's cloud software, especially cloud management software, faces a complex, distributed, cross platform environment with extremely diversified software components. Cloud Connection Pool (CCP) is a technique to obtain a connection in such an environment and is more complex than a traditional connection pool. CCP allows requesting components to establish connections to target components. CCP uses cloud mapping data that associates cloud components with each other and stores pool data that identifies connection pools for components (or “managing components”) that manage target components. In response to a request for a connection from a requesting component, the CCP determines a managing component that is associated with the requested target component and identifies (or creates) a connection pool that is associated with the managing component. The CCP then retrieves a connection from the connection pool and returns the connection to the requesting component.",10298514
10304222,2019-05-28,26,B2,System and method for graphically displaying recommended mappings in an integration cloud service design time,"In accordance with an embodiment, described herein is a system and method for graphically displaying recommended mappings between a source data object and a target data object in a design time of a cloud-based integration service. The system can include a recommendation engine that provides recommended mappings between the source and target data objects, so that the recommended mappings can be graphically displayed in a mapping interface. The recommended mappings can be filtered based one or more filtering criteria. Each recommended mapping can be displayed differently from an actual mapping, and can be associated with a reliability/quality indicator. A particular recommended mapping can be accepted to become an actual mapping, or to be rejected. The system allows a user to toggle between actual mappings and recommended mappings between the source and target data objects.",10304222
10305731,2019-05-28,5,B2,System and method for provisioning cloud services across heterogeneous environments using partitioned provisioning instructions stored on a configuration management server,"In accordance with an embodiment, described herein is a system and method for provisioning cloud services across heterogeneous computing environments. A plurality of provisioning instructions stored on a configuration management server can be partitioned into a plurality of ranges. A plurality of client nodes connected to the configuration management server can be configured into a plurality of groups, each group providing one or more computing environments on one or more virtual machines for hosting a cloud service. Each computing environment in a particular group can be associated with a provisioning instruction launcher that specifies a particular range of provisioning instructions. When a virtual machine in a particular group reboots, the computing environment on the virtual machine searches for the latest provisioning instruction in the range corresponding to the particular group.",10305731
10306023,2019-05-28,122,B2,Pre-formed instructions for a mobile cloud service,"Methods, systems, and computer readable mediums are disclosed for introducing pre-formed instruction sets to a mobile cloud service. In some examples, an archive file, such as a .zip file, can include two sets of files: 1) logic for creating an application programming interface (API) and connecting the API with backend service behind a corporate enterprise network's firewall, and 2) custom user-code. In such examples, the API can connect through defined channels to the back end service. In some examples, the custom user code can execute in a secure virtual machine (VM) on the cloud service. In such examples, the custom user code can perform error checks on data, recalculate or reformat data, or otherwise modify it before sending to a user's mobile device or receiving from a user's device.",10306023
10320887,2019-06-11,2,B2,Integrating cloud service functionality by using document metadata,"An example system and method for facilitating integrating functionality of different cloud computing environments. A particular example embodiment includes mechanisms for integrating a document cloud service with a process cloud service, such that components, e.g., documents, of software processes developed and/or implemented via the process cloud service can leverage the document cloud service and be maintained thereby. End users and/or software developers may now define folder structures governed by a document cloud service, where the folder structures and accompanying folders and documents may be automatically generated, maintained, and accessed via the process cloud service.",10320887
10324585,2019-06-18,22,B2,System and method for providing completeness indicators for an integration flow in a cloud-based integration platform,"In accordance with an embodiment, described herein is a system and method for graphically displaying a completeness indicator for a current integration flow being defined in a cloud-based integration service. The cloud-based integration service includes a web user interface for designing the current integration flow and a runtime for executing the integration flow. A plurality of integration flow definitions can be provided, each defining a plurality of integration components for a particular type of integration flow. The system can compare one or more integration components in the current integration flow, against a plurality of integration components in a definition for a particular type of integration flow, taking into account the relative weighting of each integration component. A value reflecting the level of completeness of the current integration flow can be generated based on the comparison, and graphically displayed as a completeness indicator in the web interface application.",10324585
10324697,2019-06-18,23,B2,System and method for importing and extorting an integration flow in a cloud-based integration platform,"In accordance with an embodiment, described herein is a system and method for exporting and importing integration flows in a cloud-based integration service. The cloud-based integration service includes a web interface application for creating an integration flow, and a runtime for executing the integration flow. The web interface application can provide an import interface and an import logic component, and an export interface and an export logic component. The export logic component can be configured to export an integration flow and its dependent resources, regardless of their lock states, and with secured information removed from the dependent resources. The import logic component can be configured to import an integration flow and its dependent resources; and perform a plurality of checks and validations for each dependent resource being imported, to determine whether to create the dependent resource in the system, or keep an existing dependent resource in the system.",10324697
10325089,2019-06-18,102,B2,"Mobile application, resource management advice","Techniques for a resource management advice service are provided. In some examples, resource management advice and/or instructions may be provided for use with mobile devices, mobile applications, cloud applications, and/or other web-based applications. For example a mobile client may request to perform one or more resource management operations associated with a service provider. Based at least in part on the requested operation and/or the particular service provider, advice and/or instructions for managing the resource may be provided.",10325089
10326670,2019-06-18,12,B2,System and method for enterprise data distribution,"In accordance with accordance, described herein is a system and method for providing a cloud service for distributing enterprise data to data consumers for reuse. The cloud service can include a generic connector interface configured to retrieve enterprise data from a PaaS service, and a plurality of services used for categorizing the enterprise data, managing identities of the data consumers, configuring data access rules, and masking the enterprise data. A plurality of representational state transfer (REST) application programming interfaces (APIs) can be exposed by the cloud service for a tenant to manage the enterprise data and data consumers, and for data consumers to subscribe to the enterprise data. The system allows a PaaS tenant to distribute enterprise data from a PaaS service to a plurality of data consumers securely and scalably.",10326670
