patent_number,patent_date,patent_num_combined_citations,patent_kind,patent_abstract,patent_id
10203967,2019-02-12,24,B1,Disclosed are techniques regarding aspects of implementing client configurable logic within a computer system. The computer system can be a cloud infrastructure. The techniques can include associating manifests with the client configurable logic for various purposes.,10203967
10228901,2019-03-12,4,B1,"A cloud audio recording engine running on a server computer receives one or more game parameters from a game application. The one or more game parameters correspond to one or more events occurring within the game application. The cloud audio recording engine controls at least one music parameter of one or more music tracks of a musical composition according to the one or more game parameters in a resulting audio mix and delivers a data stream comprising the audio mix to the game application, wherein the audio mix is to be used in conjunction with the one or more events.",10228901
10241754,2019-03-26,11,B1,"Systems and methods for providing supplemental information with a response to a command are provided herein. In some embodiments, audio data representing a spoken command may be received by a cloud-based information system. A response to the command may be retrieved from a category related to the context of the command. A supplemental information database may also be provided that is pre-populated with supplemental information related to an individual having a registered account on the cloud-based information system. In response to retrieving the response to the command, supplemental information may be selected from the supplemental information database to be appended to the response to the command. A message may then be generated including the response and the supplemental information appended thereto, which in turn may be converted into audio data representing the message, which may be sent to a voice-controlled electronic device of the individual.",10241754
10242364,2019-03-26,135,B2,"A user can be authenticated to a mobile computing device using an authentication process that recognizes the user and verifies that an actual human being is attempting to be authenticated, in order to minimize the ability of another person to spoof the authentication process. A model of a user can be generated and stored in the cloud, enabling that model to be synchronized across various devices. A user accessing one of these devices can have infrared image information captured, which can be used with a facial recognition process, to recognize the user, and with a human verification process, to verify that the facial information corresponds to a human user. Various approaches such as visual analysis and thermal imaging can be used to verify that the human user being recognized is interactive with the device.",10242364
10248461,2019-04-02,6,B2,"Approaches are described for enabling a user to specify one or more termination policies that can be used to select which instances in a group of virtual machines (or other compute resources) allocated to the user should be terminated first when scaling down the group of virtual machine instances. The termination policies can be utilized by an automatic scaling service when managing the resources in a multitenant shared resource computing environment, such as a cloud computing environment.",10248461
10268492,2019-04-23,25,B2,"A computing system providing virtual computing services may generate and manage remote computing sessions between client devices and virtual desktop instances (workspaces) hosted on the service provider's network. The system may implement a virtual private cloud for a workspaces service that extends out to gateway components in multiple, geographically distributed point of presence (POP) locations. In response to a client request for a virtual desktop session, the service may configure a virtual computing resource instance for the session and establish a secure, reliable, low latency communication channel (over a virtual private network) between the resource instance and a gateway component at a POP location near the client for communication of a two-way interactive video stream for the session. The availability zone containing the POP location may be different than one hosting the resource instance for the session. Client devices may connect to the gateway component over a public network.",10268492
10277670,2019-04-30,40,B2,"A transcoding service is described that is capable of transcoding or otherwise processing content, such as video, audio or multimedia content, by utilizing one or more pipelines. A pipeline can enable a user to submit transcoding jobs (or other processing jobs) into an available pipeline, where a transcoding service (or other such service) assigns one or more computing resources to process the jobs received to each pipeline. The transcoding service and the pipelines can be provided by at least one service provider (e.g., a cloud computing provider) or other such entity to a plurality of customers. A service provider can also provide the computing resources (e.g., servers, virtual machines, etc.) used to process the transcoding jobs from the pipelines.",10277670
10296878,2019-05-21,92,B1,"A platform for obtaining digital items provides consumers access to digital item from multiple sources such as other consumers, libraries, rental services, and stores. The platform may be implemented as a cloud-based system accessible over the Internet. The platform transforms digital items into different formats when needed for compatibility with a computing device of the end consumer and transfers digital rights management (DRM) restrictions across different DRM schema. Consumers may store personal information in association with a digital item for later re-association with other copies of the same digital item. Consumers may also comment on a digital item and the platform may make those comments available to other consumers that have accessed the same digital item. The platform may also mediate instant messaging between consumers that are both associated with the same digital item. Computing devices of the consumers may receive widgets from the platform that provide additional functionality.",10296878
10310966,2019-06-04,3,B1,"A virtual private cloud (VPC) that includes one or more computing devices (e.g., a physical computing device, a virtual computing device, etc.) that each implement a service present in an actual production environment is provided herein. For example, at the request of a user, an instance deployment manager may replicate one or more of the services provided by an actual production environment such that the services can be executed by the computing devices within the VPC. The computing devices within the VPC may be configured to communicate with each other. However, the computing devices may not communicate with devices outside the VPC. Thus, the VPC may represent a sandboxed or isolated test stack that allows a user to independently test code within a replicated production environment.",10310966
10326651,2019-06-18,39,B1,Disclosed are techniques regarding aspects of implementing client configurable logic within a computer system. The computer system can be a cloud infrastructure. The techniques can include associating signature information with the client configurable logic for various purposes.,10326651
10379838,2019-08-13,22,B1,"Technologies are described for determining when an updated version of a configuration of a computing resource may be rolled back to a previous version. The computing resource can include code for a function or the computing resource can be used to implement calls of an API. In some cases, the computing resource can be tagged to indicate that rollback functionality is applicable to the computing resource. The rollback to a previous version of code for a function or a previous version of an API may take place based on a rollback condition being satisfied that is related to error rates that take place when updated versions of a function or an API are utilized. The systems and methods described herein may be implemented in conjunction with a cloud-based storage system.",10379838
10382353,2019-08-13,2,B1,"A method of enhancing an incomplete cloud infrastructure template may include receiving a template defining a cloud infrastructure stack associated with a customer account, wherein the template comprises at least one resource definition specifying a first cloud infrastructure resource. The method may further include performing a dependency check of the template. The method may further include identifying, in the resource definition, an unresolved reference to a second cloud infrastructure resource. The method may further include resolving the reference by producing, based on a plurality of templates associated with the customer account, a definition of the second cloud infrastructure resource. The method may further include modifying the template to include the definition of the second cloud infrastructure resource and causing the cloud infrastructure stack to be provisioned based on the template.",10382353
10382509,2019-08-13,26,B2,An application architecture comprises one or more audio interfaces placed within the premises of users. A cloud-based application engine receives audio information from the interfaces and provides information to cloud-based applications based on the audio within the user premises. The other applications utilize the information to provide or enhance services to the users.,10382509
10387279,2019-08-20,47,B2,"A method and system for providing failovers for a primary cloud-based computing environment (CBCE) residing in a first cloud environment. The method includes gathering information with respect to the primary CBCE; storing the gathered information in a storage space; updating the stored information based on at least one change with respect to the primary CBCE; determining, based on at least one status received from the primary CBCE, whether a failover is required for the primary CBCE; and initiating a reconstruction of the primary CBCE in a second cloud environment, when it is determined that a failover is required for the primary CBCE, wherein the reconstruction of the CBCE is based on the stored information.",10387279
10394411,2019-08-27,5,B1,"Techniques are described for optimizing the use of computing resources in connection with providing online services. A user interface (UI) executes in the cloud and is streamed as video to a client device. When the user navigates away from the UI, the connection between the client and the computing resource is terminated and the resource is placed back in the pool. The most recent state of the UI is retained so that when the user navigates back to the UI, a new resource is allocated and the UI begins executing at or near the point where the user last interacted with the UI.",10394411
10424292,2019-09-24,27,B1,"An audio controlled assistant captures environmental noise and converts the environmental noise into audio signals. The audio signals are provided to a system which analyzes the audio signals for a plurality of audio prompts, which have been customized for the acoustic environment surrounding the audio controlled assistant by an acoustic modeling system. The system configured to detect the presence of an audio prompt in the audio signals and transmit instructions associated with the detected audio prompt to at least one of the audio controlled assistant or one or more cloud based services, in response.",10424292
10430203,2019-10-01,47,B1,Disclosed are techniques regarding aspects of implementing client configurable logic within a computer system. The computer system can be a cloud infrastructure. The techniques can include providing an identifier in response to configuring client configurable logic within the computer system.,10430203
10447683,2019-10-15,8,B1,"Techniques are disclosed for provisioning device-specific credentials to an Internet of Things device that accesses a cloud-based IoT service. The IoT service receives, from the IoT device, a request for device-specific credentials. The request comprises a provisioning certificate including information identifying a group of devices associated with the IoT device. The provisioning certificate is authenticated by evaluating the information with expected information. The device-specific credentials are generated based, at least in part, on the information provided in the provisioning certificate. The device-specific credentials are sent to the IoT device, and the IoT device installs and activates the device-specific credentials. The device-specific credentials are associated with the IoT device in a registry of the IoT service.",10447683
10447860,2019-10-15,25,B1,"Methods, systems, and computer-readable media for interactive voice response using a cloud-based service are disclosed. Voice input indicating interaction with an entity is received at a service provider environment. The entity is associated with an IVR data structure comprising one or more options associated with contacting the entity. The IVR data structure is selected based (at least in part) on analysis of the voice input by the service provider environment. The voice input is sent from a voice-capturing device to the service provider environment via a non-telephonic network. A contact point is selected from the IVR data structure based (at least in part) on analysis of the voice input and/or contextual information. A connection is initiated with the contact point.",10447860
10447963,2019-10-15,150,B2,"Video footage captured by A/V recording and communication devices may be readily uploaded to the cloud and shared with a requesting party, such as a law enforcement agency. When a request is received from a requesting party for video footage, a set of videos meeting the criteria specified by the requesting party may be determined. Consent requests may then be sent to users associated with each of the A/V recording and communication devices that recorded the videos meeting the criteria specified by the requesting party. When user consents to share the videos are received, the video footage may be provided to the requesting party.",10447963
10452514,2019-10-22,41,B2,"A set of techniques is described for monitoring and analyzing crashes and other malfunctions in a multi-tenant computing environment (e.g. cloud computing environment). The computing environment may host many applications that are executed on different computing resource combinations. The combinations may include varying types and versions of hardware or software resources. A monitoring service is deployed to gather statistical data about the failures occurring in the computing environment. The statistical data is then analyzed to identify abnormally high failure patterns. The failure patterns may be associated with particular computing resource combinations being used to execute particular types of applications. Based on these failure patterns, suggestions can be issued to a user to execute the application using a different computing resource combination. Alternatively, the failure patterns may be used to modify or update the various resources in order to correct the potential malfunctions caused by the resource.",10452514
10469330,2019-11-05,41,B1,"Methods and apparatus for a client account versioning metadata manager for cloud computing environments are disclosed. A system includes a plurality of resources, a plurality of service managers coordinating respective multitenant network-accessible services, and a metadata manager. The metadata manager receives a multi-service account state view request. The metadata manager generates a representation of an administrative state of a client account indicated by the request with respect a plurality of services accessible by the client account, as of a time indicated in the request. The administrative state with respect to a particular service comprises an indication of an assignment to the client account of resources participating in implementation of the particular service.",10469330
10469442,2019-11-05,1461,B2,"Systems and methods are described to enable adaptive handling of domain resolution requests originating from a virtual private cloud (VPC) networking environment. An administrator of the VPC can provide a set of rules specific to the VPC that designates how requests for a domain name should be handled. The rules may specify, for example, that a request for a given domain name should be routed to a particular domain name server, which may include a private domain name server, should be dropped, or should be routed according to a default behavior (e.g., a public domain name system). Resolution requests originating in the VPC can be associated with a VPC identifier. When an adaptive resolution system receives the request, it can retrieve rules associated with the VPC identifier, and apply the rules to determine further routing for the request.",10469442
10496426,2019-12-03,2,B1,"A cluster formation engine invokes generation of an automatically scalable group (ASG) of virtual machine instances, where the ASG is associated with one or more applications to be run in a cloud computing environment. The cluster formation engine detects a failure to generate a first virtual machine instance to be included in the ASG, and completes the generation of the ASG without including the first virtual machine instance in the ASG.",10496426
10511675,2019-12-17,11,B1,"Techniques are disclosed for providing a software application executed on a mobile device to obtain a set of service endpoints for web services used by that application. As disclosed, an endpoint resolution service may select a service endpoint for a given web service based at least on a geographic proximity of the mobile device to a set of cloud computing regions or data center locations hosting an instance the given web service.",10511675
10516590,2019-12-24,1507,B2,"Systems and methods are described to enable health checking of computing devices within a virtual private cloud (VPC) networking environment, without requiring that the devices be accessible via a public network address. An endpoint is placed within the VPC, which enables interaction with an external health checking system via a substrate network. The endpoint handles communications between the heath checking system and the VPC, and can modify data originating from the health checking system such that it appears to originate from the endpoint. From the viewpoint of the VPC, the endpoint itself may appear to be conducting health checking. Thus, external health checking can be used on a VPC without compromising the security of the VPC by requiring that a portion of the VPC be externally addressable.",10516590
10528627,2020-01-07,41,B1,"Embodiments presented herein provide a multi-region search service to customers of a cloud computing service provider. The search service allows cloud based computing resources deployed across multiple services and across multiple regions in which services are deployed to be rapidly identified. Search queries (such as simple free text or structured conditions) are evaluated across all of the cloud based services in all regions hosted by a service provider to identify a set of computing resources instantiated (or otherwise controlled) by a common account owner. To maintain the search index, the search service may include an event poller which deduplicates change events written to a staging database. In turn, an index writer performs batch updates to partitions of the search index using records pulled from the staging database.",10528627
10536332,2020-01-14,6,B1,"A system for managing configuration of multiple computing systems associated with a customer in a cloud computing environment. A command associated with the desired configuration is identified for execution on a total quantity of instances associated with the customer system to be configured. An invocation rate parameter selected by the customer system is used to control a rate in which the configuration command is invoked on the targeted instances. Based on the invocation rate parameter, the system invokes the configuration command on identified portions or sets of the targeted instances during different stages of the configuration invocation.",10536332
10540186,2020-01-21,48,B1,Disclosed are techniques regarding aspects of implementing client configurable logic within a computer system. The computer system can be a cloud infrastructure. The techniques can include providing an identifier in response to configuring client configurable logic within the computer system.,10540186
10595052,2020-03-17,6,B1,"Digital content such as eBooks, music, video, personal files, and so forth stored in cloud storage resources are selectively transferred to an onboard storage device of a conveyance such as an aircraft, train, motorcoach, and so forth. Travelers may access the content from the onboard storage as if the cloud were still accessible.",10595052
10638417,2020-04-28,11,B1,"A system in which a device may automatically provision another device with credentials, at the behest of a cloud-based service, based in part on the physical proximity of the device to be provisioned. The provisioning device and the device to be provisioned may use a radio access technology (RAT) with a limited radio range. Account information associated with the device to be provisioned is known to the cloud-based service, which authenticates the device to be provisioned via the device with credentials.",10638417
10699421,2020-06-30,61,B1,"The motion of objects within a scene may be detected and tracked using digital (e.g., visual and depth) cameras aligned with fields of view that overlap at least in part. Objects may be identified within visual images captured from the scene using a tracking algorithm and correlated to point clouds or other depth models generated based on depth images captured from the scene. Once visual aspects (e.g., colors or other features) of objects are correlated to the point clouds, shapes and/or positions of the objects may be determined and used to further train the tracking algorithms to recognize the objects in subsequently captured frames. Moreover, a Kalman filter or other motion modeling technique may be used to enhance the prediction of a location of an object within subsequently captured frames.",10699421
10708269,2020-07-07,2,B1,"A method and system for managing requests from a customer system domain, the requests for access to an application executed by a web service in a cloud computing environment. In one embodiment, an access management system includes an authentication layer and an authorization layer. The authentication layer includes a proxy web service to receive a request for access to an application according to a membership-based authentication protocol and generate an object to be passed to an interface of the web-based execution platform. A second object is generated including user identity and membership information. The second object is configured with a protocol that enables processing by the web-based execution platform. The web-based execution platform receives the second object, extracts the authentication information in the second protocol, and translates the authentication information of the second object back into the first object as in the original request. Using the first object, the application determines a validity of the request.",10708269
10725763,2020-07-28,39,B1,"An updated version of a configuration of a computing resource may be rolled back to a previous version. The computing resource can include code for a function or the computing resource can be used to implement calls of an API. In some cases, the computing resource can be tagged to indicate that rollback functionality is applicable to the computing resource. The rollback to a previous version of code for a function or a previous version of an API may take place based on a rollback condition being satisfied that is related to error rates that take place when updated versions of a function or an API are utilized. The computing resource may be implemented in conjunction with a cloud-based storage system.",10725763
10728394,2020-07-28,5,B1,"A cloud-based video/audio conferencing system and method performs locale based aggregation of a full duplex media stream to organize multiple connections to a conference call that originate from the same physical location or a shared locale. The cloud-based video/audio conferencing system performs synchronization of the microphone and speaker audio signals of the same-locale connections. In this manner, a conference call may be held with multiple user devices making connections from the same physical location. User experience is enhanced by allowing each user in the same location to use his/her own individual devices to connect to the same conference call.",10728394
10740151,2020-08-11,35,B1,"Systems, methods, and computer-readable media are disclosed for systems and methods for parallelized forensic analysis using cloud-based servers. Example methods may include generating a first request for one or more notifications in a notification queue, where the one or more notifications include a first notification indicative of a first data input at a datastore, determining a first data type of the first data input, and generating a second notification indicative of the first data type. Some example methods may include determining that a first software component is subscribed to notifications for the first data type, sending the second notification to the first software component, determining a first output of the first software component, where the first output comprises a set of extracted data from the first data input, and sending the set of extracted data to the datastore.",10740151
10740565,2020-08-11,12,B1,"This disclosure describes techniques implemented partly by a cloud-based service provider for providing a sentiment-analysis service to determine whether sentiments, or attitudes, of users have significantly decreased. The sentiment-analysis service is composed of various services provided by the cloud-based service in order to determine significant negative deviations in sentiment of users towards an entity. Further, the sentiment-analysis service utilizes various techniques, such as encryption, to privatize the process such that private user information is protected. In some examples, an entity may not know the content of communications or the reasons the user's sentiment has dropped, but may be alerted of a general negative change in sentiment towards the entity by the user.",10740565
10771337,2020-09-08,4,B1,"This disclosure describes techniques for defining a set of permissions, or privileges, for users who manage resources of a network-based service provisioned in a network-based service platform managed by a service provider. The techniques may include mapping cloud identities of the users to operating system (OS) user groups defined local to the resources that specify the set of permissions for user group members. Systems-manager agents that execute locally on the resources may determine to which OS user group the user belongs based on their cloud identity, and launch shells that are restricted by the set of permissions. Using these shells, a network-based service platform may allow users to remotely manage resources of the network-based service in various ways, such as through batch run commands and/or remote user sessions, while ensuring that the users are unable to execute commands on the resources that are outside the set of permissions.",10771337
10783208,2020-09-22,9,B1,"A service provider may determine that an electronic message sent from a first user device of a first user to a second user device of a second user includes a URL. The service provider may cause the URL to be unfurled, resulting in a preview of the URL, using a combination of a server-based process and a client-based process and one or more policies. Based on the policies, a cloud-based unfurling service may attempt to obtain metadata associated with the URL in order to unfurl the URL. If the server-based unfurling process is unable to unfurl the URL, the first device and/or the second device may obtain the metadata and unfurl the URL. As a result, the recipient of the message (e.g., the second user) may view an unfurled URL that includes a preview of a website corresponding to the URL (e.g., a title/headline, representative text, images, videos, etc.).",10783208
10795742,2020-10-06,62,B1,Disclosed are techniques regarding aspects of implementing client configurable logic within a computer system. The computer system can be a cloud infrastructure. The techniques can include determining that the client configurable logic has performed an errant action.,10795742
10803169,2020-10-13,4,B1,A processing device receives a request to create a second account in a cloud computing system having multiple web services. The request specifies an organization unit (OU) associated with a first account of the cloud computing system. A first instance of a threat detection service monitors activity data associated with the first account and detects anomalous activity by the first account using a first machine learning (ML) model. The processing device creates the second account and attaches the second account to the OU. The processing device generates a second ML model for the second account using at least a portion of the first ML model and monitors subsequent activity data associated with the second account using the second ML model to detect anomalous activity by the second account.,10803169
10803392,2020-10-13,0,B1,"A method of deploying machine learning-based models may include identifying a profile of a target execution environment to implement a machine learning-based model in communication with a cloud infrastructure. The method may further include identifying, using the profile, a software module implementing the model. The method may further include causing the software module to be uploaded from a code repository associated with the cloud infrastructure to the target execution environment.",10803392
10805184,2020-10-13,14,B2,"Methods, systems, and techniques for analyzing and managing time series workload data are provided. Example embodiments provide a Data Management and Analysis platform that enables end users to modernize their system configurations to incorporate external services techniques, such as cloud technologies, and to utilize virtualization technologies to host some of their functions in a manner that improves the overall performance of their configurations. This may be particularly useful in an IT environment with many interdependent systems where it is hard to analyze and determine where externally hosted or hybrid (e.g., both remote and local) systems might improve the overall delivery of services and cost to end users.",10805184
10817337,2020-10-27,20,B1,"Methods, systems, and computer-readable media for cloud-based access to quantum computing resources are disclosed. A classical computing instance is launched based at least in part on a request. The computing instance is launched by a control plane of a provider network. A quantum computing resource is accessible to the computing instance and is selected based at least in part on input from a user associated with the request. The quantum computing resource is implemented in the provider network and comprises a plurality of quantum bits. A quantum algorithm is run on the quantum computing resource.",10817337
10819751,2020-10-27,5,B2,"A processing device receives an event notification indicating a security configuration change of a cloud computing resource associated with a member account. In response, the processing device identifies a security policy associated with an administrative account corresponding to the member account and evaluates the security policy against the security configuration change to determine compliance with the policy. If not in compliance, the processing device generates a change event indicating a repair to the security configuration of the cloud computing resource to bring the security configuration into compliance with the security policy.",10819751
10834210,2020-11-10,46,B1,"A system and method for synchronizing or moving a personal workspace from a first computing system (e.g., a laptop) to a cloud-based computing system in a software development environment. The personal workspace synchronization service identifies changes made to the source code as a result of activities performed in the personal workspace of the first computing system. The source code changes are identified by comparing a snapshot of a current image of a container including personal workspace executing on the first computing system to a base container image of the personal workspace. The identified source code changes are transferred by the personal workspace synchronization service to the cloud-based computing system to generate an updated personal workspace on the cloud-based computing system that matches the personal workspace of the first computing system.",10834210
10853316,2020-12-01,12,B1,"Embodiments of the present invention provide systems and methods for storing, accessing, and/or promoting previous versions of changed or overwritten content in a cloud computing or multitenant environment. According to various embodiments, the system may list all the versions, promote a version to be the current version of the node, delete a specific version of the node, and/or rename/move all the node versions. Metadata associated with file versioning may be stored in a dynamic table with concatenated identifiers as a hash key and a content version as another hash key. Accordingly, the method may include securely storing a copy of an object handle instead of copying the entire content at a new location, which reduces storage and resource requirements, as well as improve on security and performance by efficient lookups in the table for read, writes, updates, and deletes for the given node version.",10853316
10853776,2020-12-01,22,B1,"A cloud wallet system may receive an indication from a third party system that a user has checked-in at a merchant. The cloud wallet system then determines whether the merchant has an account with the cloud wallet system so that a point-of-sale (POS) purchase can be processed via the user check-in. If the merchant has an account with the cloud wallet system, a user profile corresponding to the user is sent to the merchant and a point-of-sale transaction based on a third party user check-in may be processed by the merchant through the cloud wallet system.",10853776
10855751,2020-12-01,41,B2,"A transcoding service is described that is capable of transcoding or otherwise processing content, such as video, audio or multimedia content, by utilizing one or more pipelines. A pipeline can enable a user to submit transcoding jobs (or other processing jobs) into an available pipeline, where a transcoding service (or other such service) assigns one or more computing resources to process the jobs received to each pipeline. The transcoding service and the pipelines can be provided by at least one service provider (e.g., a cloud computing provider) or other such entity to a plurality of customers. A service provider can also provide the computing resources (e.g., servers, virtual machines, etc.) used to process the transcoding jobs from the pipelines.",10855751
10862852,2020-12-08,1631,B1,Systems and methods are for domain name system (DNS) resolutions in heterogeneous network environments including a virtual private cloud (VPC). An administrator of a virtual private cloud (VPC) specifies rules identifying sources for resolving DNS resolution requests. The rules may include routing a request to a source outside the VPC such as to an on-premises DNS resolver through an outbound IP endpoint.,10862852
10880232,2020-12-29,10,B1,"Techniques are described for enabling users of a cloud provider network to discover “availability groups” provided by a cloud provider network and to request the launch of computing resources into selected availability groups. Some cloud provider networks are expanding the definition of traditional “availability zones” to include new types of availability zones representing various types of provider substrate extension edge locations—including, for example, cloud-provider managed substrate extensions associated with separate control planes, 5G-enabled provider substrate extensions connected to communications service provider networks, and the like. Availability groups can be used to represent various defined collections these new types of provider substrate extensions, where each availability group may be defined such that includes a set of provider substrate extensions with a similar set of characteristics and capabilities.",10880232
10880903,2020-12-29,3,B1,"A method includes determining, by a cloud computing system, a number of radar events detected by wireless access point (WAP) devices of a wireless mesh network and by channels associated with respective ones of the WAP devices. The method includes determining a first WAP device has detected a fewest number of radar events and that a first DFS channel, of the first WAP device, has detected a fewest number of radar events as compared with a number of radar events detected via each of the other DFS channels of the first WAP device. The method includes assigning the first WAP device to be a master on the first DFS channel and transmitting, to the first WAP device, a message containing first assignment information regarding the first WAP device being assigned as the master on the first DFS channel.",10880903
8280783,2012-10-02,7,B1,"Methods and systems for providing multiple level text cloud navigation are described, where various categories are displayed in a first text cloud and, when a category is selected, a second text cloud is displayed having child nodes of the selected category and selected lower level nodes. The categories, child nodes, and selected other nodes are displayed using an importance identifier indicative of the number of results in that category or node, a relative importance thereof, a similarities metric, a recommendations metric, or the like.",8280783
